Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
.;1-26      ;_1299-F-7109-28-1;GRANFOL K;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;360;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $2,649.75 ; Q20,308.13 ; Q95.00 ;Arvensis Agro, S.A.; 46.40, 31.90;P2O5, K2O;MAGA
.;2-26      ;_1299-F-7110-28-1;GRANFOL CaB;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;840;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $5,381.85 ; Q41,247.41 ; Q135.00 ;Arvensis Agro, S.A.; 3.90, 19.50, 8.45, 0.39;N, P2O5, CaO, B;MAGA
.;3-26      ;_1299-F-6368-28-3;FERTIMIX ZnMn;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;1040;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $4,141.90 ; Q31,744.23 ; Q115.00 ;Arvensis Agro, S.A.; 8.40, 4.51, 7.00, 3.50;N, S, Zn, Mn;MAGA
.;4-26      ;_1299-SAF-557-28-1;HUMIPOWER;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;240;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $916.16 ; Q7,021.61 ; Q40.00 ;Arvensis Agro, S.A.; 10.20, 7.90;Acidos Humicos, Acidos Fulvicos;MAGA
.;5-26      ;_1441-F-5569-28-1;AVAN KRYSTAL 11-46;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Kilogramos;18000;España                                            ;España                                            ;Puerto Barrios                                    ; $23,447.83 ; Q179,708.16 ; Q415.00 ;AVAN EUROPE, S.L.; 0.01, 0.01, 0.03, 0.01, 0.01, 0.05, 11.00, 46.00;B, Cu (EDTA), Fe (EDTA), Mn (EDTA), Zn (EDTA), S, N, K2O;MAGA
.;6-26      ;_484-SAF-308-29-1;HUMEGA;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;9159.7;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $10,317.86 ; Q79,024.49 ; Q210.00 ;GLOBAL ORGANICS LLC; 8.00;Acidos Humicos;MAGA
.;7-26      ;_484-F-7209-29-1;BioFlora 6-0-0+8%Ca;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $9,309.94 ; Q71,304.83 ; Q195.00 ;GLOBAL ORGANICS, LLC.; 11.96, 6.58;CaO, N;MAGA
.;8-26      ;_484-SAF-242-29-2;FULVEX;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;16654;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $27,559.75 ; Q211,080.13 ; Q445.00 ;GLOBAL ORGANICS, LLC.; 2.00;Acidos Fulvicos;MAGA
.;9-26      ;_484-F-6417-29-1;BIOFLORA 0-0-25;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $11,916.94 ; Q91,271.84 ; Q230.00 ;GLOBAL ORGANICS, LLC.; 25.00, 0.00, 0.00;K2O, P2O5, N;MAGA
.;10-26     ;_484-F-5995-29-1;BIOFLORA BORON ZINC;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;15404.95;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $45,842.77 ; Q351,109.78 ; Q585.00 ;GLOBAL ORGANICS, LLC.; 2.00, 2.46, 4.20;S, B, Zn;MAGA
.;11-26     ;_484-SAF-449-29-1;BIOFLORA SEAWEED CREME;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;8327;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $30,169.87 ; Q231,071.03 ; Q465.00 ;GLOBAL ORGANICS, LLC.; 8.00;Extracto de Algas Marinas (Ascophyllum Nodosum);MAGA
.;12-26     ;_484-F-5996-29-1;BIOFLORA 0-15-15;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $14,028.94 ; Q107,447.65 ; Q340.00 ;GLOBAL ORGANICS, LLC.; 15.00, 15.00;P2O5, K2O;MAGA
.;13-26     ;_484-F-5994-29-1;BIOFLORA MAGNESIUM 4%;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $7,703.94 ; Q59,004.48 ; Q170.00 ;GLOBAL ORGANICS, LLC.; 5.50, 4.50;S, MgO;MAGA
.;14-26     ;_45-F-4833-42-7;POLYSULFATO GRANULAR 0-0-14+17.0 CaO + 6.0 MgO + 19.2 S;GRUPO FERT, S.A                                                                                                                                       ;06/01/2026;Kilogramos;295060;Inglaterra                                        ;Inglaterra                                        ;Puerto Barrios                                    ; $98,131.38 ; Q751,656.93 ; Q985.00 ;ICL EUROPE COOPERATIEF U.A.; 14.00, 17.00, 6.00, 19.20;K2O, CaO, MgO, S;MAGA
.;15-26     ;365-F-4645-1;Entec Special 12+12+17(+2+8) / Entec Special 12:12:17 (+2+8+TE);La Corneta, S. A.                                                                                                                                     ;06/01/2026;Kilogramos;240000;México                                            ;Alemania                                          ;Tecún Umán                                        ; $259,200.00 ; Q1,985,394.24 ; Q1,330.00 ;FERTISTREAM; 0.01, 0.02, 8.00, 2.00, 17.00, 12.00, 12.00;Zn, B, S, MgO, K2O, P2O5, N;MAGA
.;16-26     ;352-F-8416-42;YaraVita CROPLIFT BIO / YaraVita CROPLIFT BIO UK;YARA GUATEMALA, S.A                                                                                                                                   ;06/01/2026;Litros    ;2520;Inglaterra                                        ;Inglaterra                                        ;Puerto Quetzal                                    ; $10,209.61 ; Q78,185.40 ; Q210.00 ;YARA UK LTD.; 0.07, 0.00, 0.13, 0.10, 0.02, 7.00, 4.00, 10.00;Zn, Mo, Mn, Cu, B, K2O, P2O5, N;MAGA
.;17-26     ;_352-F-5198-21-1;NITRATO DE MAGNESIO;NUTRIENTES Y NITRATOS QUETZAL, S.A.                                                                                                                   ;07/01/2026;Kilogramos;78000;China                                             ;China                                             ;Puerto Quetzal                                    ; $31,396.75 ; Q240,489.69 ; Q475.00 ;Yara Switzerland Ltd.; 10.80, 15.40;N, MgO;MAGA
.;18-26     ;_786-F-5429-57-6;K-FOL;INDUPARTS, S.A                                                                                                                                        ;07/01/2026;Kilogramos;5000;México                                            ;México                                            ;Tecún Umán                                        ; $21,250.00 ; Q162,826.85 ; Q395.00 ;Grupo Bioquímico Mexicano, S.A. de C.V.; 0.08, 0.01, 0.00, 20.10, 55.02, 0.10;S, B, Giberelinas, P2O5, K2O, MgO;MAGA
.;19-26     ;_786-F-5429-57-6;K-FOL;INDUPARTS, S.A                                                                                                                                        ;07/01/2026;Kilogramos;20000;México                                            ;México                                            ;Tecún Umán                                        ; $85,000.00 ; Q651,307.40 ; Q885.00 ;Grupo Bioquímico Mexicano, S.A. de C.V.; 0.08, 0.01, 0.00, 20.10, 55.02, 0.10;S, B, Giberelinas, P2O5, K2O, MgO;MAGA
.;20-26     ;_786-F-5429-57-6;K-FOL;INDUPARTS, S.A                                                                                                                                        ;07/01/2026;Kilogramos;2000;México                                            ;México                                            ;Tecún Umán                                        ; $8,500.00 ; Q65,130.74 ; Q185.00 ;Grupo Bioquímico Mexicano, S.A. de C.V.; 0.08, 0.01, 0.00, 20.10, 55.02, 0.10;S, B, Giberelinas, P2O5, K2O, MgO;MAGA
.;21-26     ;_1529-ENMIENDA-251-57-1;ROCA FOSFORICA;CORTAZAR, S.A                                                                                                                                         ;07/01/2026;Kilogramos;7000;México                                            ;México                                            ;Tecún Umán                                        ; $2,995.73 ; Q22,963.35 ; Q100.00 ;Zeolitech S. de R.L. de C.V.; 100.00;Roca  Fosforica;MAGA
.;22-26     ;_1529-ENMIENDA-253-57-1;MAGNESITA;CORTAZAR, S.A                                                                                                                                         ;07/01/2026;Kilogramos;3000;México                                            ;México                                            ;Tecún Umán                                        ; $1,649.05 ; Q12,640.56 ; Q80.00 ;Zeolitech S. de R.L. de C.V.; 100.00;MAGNESITA;MAGA
.;23-26     ;_1529-ENMIENDA-252-57-1;FITOCORT ZEOLITA;CORTAZAR, S.A                                                                                                                                         ;07/01/2026;Kilogramos;7000;México                                            ;México                                            ;Tecún Umán                                        ; $4,012.31 ; Q30,755.80 ; Q115.00 ;Zeolitech S. de R.L. de C.V.; 100.00;ZEOLITA CLINOPTILOLITA;MAGA
.;24-26     ;_1529-ENMIENDA-254-57-1;FITOCORT DIA-FIX;CORTAZAR, S.A                                                                                                                                         ;07/01/2026;Kilogramos;3000;México                                            ;México                                            ;Tecún Umán                                        ; $1,744.22 ; Q13,370.07 ; Q80.00 ;Zeolitech S. de R.L. de C.V.; 100.00;Tierra de Diatomeas;MAGA
.;25-26     ;_45-F-7041-46-1;MC SET;CORPOGREEN, S.A                                                                                                                                       ;08/01/2026;Litros    ;4200;Italia                                            ;Italia                                            ;Puerto Quetzal                                    ; $30,664.23 ; Q234,962.82 ; Q470.00 ;Valagro S.P.A.; 0.60, 1.82, 24.20, 14.40;B, Zn EDTA, Extracto de algas (Ascophyllum nodosum), Materia Organica;MAGA
.;26-26     ;_45-F-4414-46-5;VIVA;CORPOGREEN, S.A                                                                                                                                       ;08/01/2026;Litros    ;2880;Italia                                            ;Italia                                            ;Puerto Quetzal                                    ; $18,820.08 ; Q144,207.73 ; Q380.00 ;Valagro S.P.A.; 0.03, 6.76, 6.20, 49.60, 1.98, 2.48;Fe EDDHSA, K2O, Extracto de algas, Extractos  Vegetales, Acidos Humicos, N;MAGA
.;27-26     ;_45-F-4470-46-5;CALBIT C;CORPOGREEN, S.A                                                                                                                                       ;08/01/2026;Litros    ;6340;Italia                                            ;Italia                                            ;Puerto Quetzal                                    ; $27,329.43 ; Q209,410.12 ; Q445.00 ;Valagro S.P.A.; 21.75;CaO;MAGA
.;28-26     ;874-F-4335-73;NITRATO DE AMONIO / Nitrato de Amonio Grado B;GRUPO FERT, S.A                                                                                                                                       ;08/01/2026;Kilogramos;127008;Honduras                                          ;Rusia                                             ;Corinto                                           ; $48,739.01 ; Q373,459.74 ; Q605.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 34.40;N;MAGA
.;29-26     ;874-F-4335-73;NITRATO DE AMONIO / Nitrato de Amonio Grado B;GRUPO FERT, S.A                                                                                                                                       ;08/01/2026;Kilogramos;127008;Honduras                                          ;Rusia                                             ;Corinto                                           ; $48,739.01 ; Q373,459.74 ; Q605.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 34.40;N;MAGA
.;30-26     ;874-F-4767-29;FOSFATO DIAMONICO (DAP);GRUPO FERT, S.A                                                                                                                                       ;08/01/2026;Kilogramos;120000;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $97,520.06 ; Q747,241.61 ; Q980.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 18.00, 46.00, 0.00;N, P2O5, K2O;MAGA
.;31-26     ;352-F-5089-13;YARATERA KRISTA MOP;YARA GUATEMALA, S.A                                                                                                                                   ;09/01/2026;Kilogramos;1734000;Estados Unidos                                    ;Canadá                                            ;Puerto Quetzal                                    ; $698,421.36 ; Q5,348,315.22 ; Q1,670.00 ;Yara Switzerland Ltd.; 62.00;K2O;MAGA
.;32-26     ;352-F-5090-13;MURIATO DE POTASIO SUPERBLEND ROJO GRANULAR;YARA GUATEMALA, S.A                                                                                                                                   ;09/01/2026;Kilogramos;3300000;Estados Unidos                                    ;Canadá                                            ;Puerto Quetzal                                    ; $1,362,947.77 ; Q10,437,072.40 ; Q2,180.00 ;Yara Switzerland Ltd.; 60.00;K2O;MAGA
.;33-26     ;966-F-2996-57;Amoniaco Anhidro;MACRO QUIMICA CENTROAMERICANA, S.A                                                                                                                    ;09/01/2026;Kilogramos;35000;México                                            ;México                                            ;Tecún Umán                                        ; $29,400.00 ; Q225,345.71 ; Q460.00 ;ALMACENADORA MACRO, S.A. DE C.V.; 82.00;Nitrogeno Total;MAGA
.;34-26     ;966-F-2996-57;Amoniaco Anhidro;MACRO QUIMICA CENTROAMERICANA, S.A                                                                                                                    ;09/01/2026;Kilogramos;35000;México                                            ;México                                            ;Tecún Umán                                        ; $29,400.00 ; Q225,345.71 ; Q460.00 ;ALMACENADORA MACRO, S.A. DE C.V.; 82.00;Nitrogeno Total;MAGA
.;35-26     ;966-F-2996-57;Amoniaco Anhidro;MACRO QUIMICA CENTROAMERICANA, S.A                                                                                                                    ;09/01/2026;Kilogramos;35000;México                                            ;México                                            ;Tecún Umán                                        ; $29,400.00 ; Q225,345.71 ; Q460.00 ;ALMACENADORA MACRO, S.A. DE C.V.; 82.00;Nitrogeno Total;MAGA
.;36-26     ;966-F-2996-57;Amoniaco Anhidro;MACRO QUIMICA CENTROAMERICANA, S.A                                                                                                                    ;09/01/2026;Kilogramos;35000;México                                            ;México                                            ;Tecún Umán                                        ; $29,400.00 ; Q225,345.71 ; Q460.00 ;ALMACENADORA MACRO, S.A. DE C.V.; 82.00;Nitrogeno Total;MAGA
.;37-26     ;966-F-2996-57;Amoniaco Anhidro;MACRO QUIMICA CENTROAMERICANA, S.A                                                                                                                    ;09/01/2026;Kilogramos;35000;México                                            ;México                                            ;Tecún Umán                                        ; $29,400.00 ; Q225,345.71 ; Q460.00 ;ALMACENADORA MACRO, S.A. DE C.V.; 82.00;Nitrogeno Total;MAGA
.;38-26     ;874-F-4325-29;Sulfato de Amonio Granular;GRUPO FERT, S.A                                                                                                                                       ;12/01/2026;Kilogramos;100000;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $23,769.29 ; Q182,208.48 ; Q415.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 21.00, 24.00;N, S;MAGA
.;39-26     ;874-F-4325-29;Sulfato de Amonio Granular;GRUPO FERT, S.A                                                                                                                                       ;12/01/2026;Kilogramos;100000;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $23,769.29 ; Q182,208.48 ; Q415.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 21.00, 24.00;N, S;MAGA
.;40-26     ;789-SAF-198-104;SINERGRO MAX 10X;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;12/01/2026;Kilogramos;24;Honduras                                          ;Honduras                                          ;El Florido                                        ; $3,094.90 ; Q23,724.61 ; Q100.00 ;INTRAKAM S. DE R.L.; 5.40, 4.00, 10.00;Reguladores de Crecimiento (Giberelinas, Citocininas, Auxinas), Activadores Metabolicos ( Acido Pantotenico, Niacina, Tiamina, Acido Glutamico), Enzimas y Vitaminas (Enzimas Proteoliticas, Acido Ascorbico);MAGA
.;41-26     ;789-SAF-199-104;RAIZSINER PLUS;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;12/01/2026;Kilogramos;27;Honduras                                          ;Honduras                                          ;El Florido                                        ; $1,160.59 ; Q8,896.75 ; Q50.00 ;INTRAKAM S. DE R.L.; 13.44, 18.70, 7.23, 6.26, 0.27, 0.10, 0.30;N, P2O5, Acidos Humicos, Acidos Fulvicos, Auxinas, Tiamina, Acido Glutamico;MAGA
.;42-26     ;789-SAF-252-104;MULTICHOK FLOR MAX;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;12/01/2026;Litros    ;360;Honduras                                          ;Honduras                                          ;El Florido                                        ; $3,307.67 ; Q25,355.64 ; Q105.00 ;INTRAKAM S. DE R.L.; 6.00, 11.00, 1.50, 1.50, 2.02, 0.98, 3.00;Acido Humico, Acido Fulvico, Mo, Zn, B, Auxinas, Acido Glutamico;MAGA
.;43-26     ;789-SAF-559-104;KAMAVIROL;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;12/01/2026;Litros    ;504;Honduras                                          ;Honduras                                          ;El Florido                                        ; $4,392.43 ; Q33,671.09 ; Q120.00 ;INTRAKAM S. DE R.L.; 8.70, 0.00, 0.01, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.11, 1.70, 0.01, 0.20;Aminoacidos, Betainas, Giberelinas, Auxinas, Zn, Mn, Fe, Cu, B, MgO, CaO, K2O, P2O5, N;MAGA
.;44-26     ;789-SAF-205-104;ALGAPRON;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;12/01/2026;Litros    ;804;Honduras                                          ;Honduras                                          ;El Florido                                        ; $8,639.92 ; Q66,231.12 ; Q185.00 ;INTRAKAM S. DE R.L.; 0.01, 0.01, 0.00, 0.06, 8.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.10, 1.69, 0.01, 0.18, 87.93;Giberelinas, Citocininas, Cu, MgO, Aminoacidos, Betainas, Enzimas Proteoliticas, Auxinas, B, Zn, Fe, Mn, CaO, K2O, P2O5, N, Extractos Orgánicos de Algas Marinas y Extractos Vegetales;MAGA
.;45-26     ;789-SAF-489-104;RAIZSINER LIQUIDO;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;12/01/2026;Litros    ;300;Honduras                                          ;Honduras                                          ;El Florido                                        ; $2,417.89 ; Q18,534.84 ; Q90.00 ;INTRAKAM S. DE R.L.; 4.00, 6.00, 0.30;Acido Humico, Acido Fulvico, Aminoacidos;MAGA
.;46-26     ;478-F-7985-17;SIKONFERT COBRE ZINC;PROYECTOS AGRICOLAS Y COMERCIALES, S.A                                                                                                                ;13/01/2026;Litros    ;2016;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $16,229.69 ; Q124,287.29 ; Q360.00 ;Biológicos Estratégicos SAS; 14.50, 9.04, 9.92, 2.33, 2.03, 3.16;P2O5, K2O, SiO2, S, Cu, Zn;MAGA
.;47-26     ;_1613-ENMIENDA-279-26-1;ECOMINERALES D´NATURALS;RAXWINAQ, S.A                                                                                                                                         ;13/01/2026;Kilogramos;19998;El Salvador                                       ;El Salvador                                       ;Pedro de Alvarado                                 ; $4,487.30 ; Q34,386.85 ; Q200.00 ;D´Naturals, S.A. de C.V.; 19.00, 30.00, 55.00;Calcita, Montmorillonita, Andesina;MAGA
.;48-26     ;789-F-8058-104;SINERCALCIO micro BZn;SERVICIOS PARA EL AGRO, SERVIAGRO                                                                                                                     ;14/01/2026;Litros    ;264;Honduras                                          ;Honduras                                          ;El Florido                                        ; $2,019.94 ; Q15,484.27 ; Q85.00 ;INTRAKAM S. DE R.L.; 8.00, 14.00, 2.00, 5.00, 6.00;N, CaO, B, Zn, Aminoacidos;MAGA
.;49-26     ;874-F-4337-73;UREA / Urea Grado B;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;125000;Honduras                                          ;Rusia                                             ;Corinto                                           ; $62,318.49 ; Q477,618.26 ; Q710.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.30;N;MAGA
.;50-26     ;874-F-4337-73;UREA / Urea Grado B;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;125000;Honduras                                          ;Rusia                                             ;Corinto                                           ; $62,318.49 ; Q477,618.26 ; Q710.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.30;N;MAGA
.;51-26     ;874-F-4337-73;UREA / Urea Grado B;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;125000;Honduras                                          ;Rusia                                             ;Corinto                                           ; $62,318.49 ; Q477,618.26 ; Q710.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.30;N;MAGA
.;52-26     ;874-F-4337-73;UREA / Urea Grado B;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;125000;Honduras                                          ;Rusia                                             ;Corinto                                           ; $62,318.49 ; Q477,618.26 ; Q710.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.30;N;MAGA
.;53-26     ;874-F-4390-29;Sulfato de Amonio Estandar;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;120000;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $27,727.79 ; Q212,509.11 ; Q450.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 24.00, 21.00;S, N;MAGA
.;54-26     ;874-F-4390-29;Sulfato de Amonio Estandar;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;120000;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $27,727.79 ; Q212,509.11 ; Q450.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 24.00, 21.00;S, N;MAGA
.;55-26     ;874-F-4335-73;NITRATO DE AMONIO / Nitrato de Amonio Grado B;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;127008;Honduras                                          ;Rusia                                             ;Corinto                                           ; $48,736.77 ; Q373,525.92 ; Q610.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 34.40;N;MAGA
.;56-26     ;874-F-4429-73;MURIATO DE POTASIO ESTANDAR BLANCO / KCL 0-0-62 SOLUBLE;GRUPO FERT, S.A                                                                                                                                       ;14/01/2026;Kilogramos;53340;Honduras                                          ;Rusia                                             ;Corinto                                           ; $55,443.89 ; Q424,930.29 ; Q660.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 0.00, 0.00, 62.00;N, P2O5, K2O;MAGA
.;57-26     ;478-F-8408-17;POTAK 41;PROYECTOS AGRICOLAS Y COMERCIALES, S.A                                                                                                                ;15/01/2026;Litros    ;2912;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $15,973.05 ; Q122,450.04 ; Q355.00 ;Biológicos Estratégicos SAS; 8.80, 14.00, 2.50, 41.00;Aminoacidos libres, S, MgO, N;MAGA
.;58-26     ;478-F-8409-17;CRECIFOR-T;PROYECTOS AGRICOLAS Y COMERCIALES, S.A                                                                                                                ;15/01/2026;Litros    ;3024;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $15,790.22 ; Q121,048.46 ; Q355.00 ;Biológicos Estratégicos SAS; 10.00, 10.00, 10.00, 0.25, 0.66, 0.03, 0.05, 0.01, 0.05, 0.16, 2.76;N, P2O5, K2O, MgO, S, B, Cu, Fe, Mn, Zn, Aminoacidos libres;MAGA
.;59-26     ;874-F-6793-21;NITRATO DE POTASIO;GRUPO FERT, S.A                                                                                                                                       ;15/01/2026;Kilogramos;60000;Honduras                                          ;China                                             ;Corinto                                           ; $65,111.47 ; Q498,958.96 ; Q730.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.00, 13.00, 0.00;K2O, N, P2O5;MAGA
.;60-26     ;478-F-7987-17;SIKONFERT RAICES;PROYECTOS AGRICOLAS Y COMERCIALES, S.A                                                                                                                ;15/01/2026;Litros    ;2128;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $15,641.56 ; Q119,783.38 ; Q355.00 ;Biológicos Estratégicos SAS; 4.39, 8.47, 3.42, 49.50;K2O, SiO2, Extracto de Algas Marinas (Ascophyllum Nodosum), P2O5;MAGA
.;61-26     ;1359-F-5523-28;FOSFATO MONOAMONICO (MAP);MERCOAGRO                                                                                                                                             ;16/01/2026;Kilogramos;52000;China                                             ;China                                             ;Puerto Quetzal                                    ; $57,200.00 ; Q440,707.70 ; Q670.00 ;Valudor Products LLC; 61.00, 12.00;P2O5, N;MAGA
.;62-26     ;352-F-4269-42;YaraVita CropBoos / YaraVita CropBoos UK;YARA GUATEMALA, S.A                                                                                                                                   ;16/01/2026;Litros    ;5040;Inglaterra                                        ;Inglaterra                                        ;Puerto Quetzal                                    ; $23,948.54 ; Q183,521.25 ; Q420.00 ;YARA UK LIMITED; 7.50, 6.70, 4.60, 44.00;K2O, MgO, Zn, P2O5;MAGA
.;63-26     ;352-F-8383-42;YARAVITA BORTRAC 150 / BORTRAC;YARA GUATEMALA, S.A                                                                                                                                   ;16/01/2026;Litros    ;3360;Inglaterra                                        ;Inglaterra                                        ;Puerto Quetzal                                    ; $19,663.13 ; Q150,681.51 ; Q385.00 ;YARA UK LIMITED; 15.00, 6.50;B, N;MAGA
.;64-26     ;352-F-5516-42;YARAVITA BIOTRAC;YARA GUATEMALA, S.A                                                                                                                                   ;16/01/2026;Litros    ;5880;Inglaterra                                        ;Inglaterra                                        ;Puerto Quetzal                                    ; $42,645.77 ; Q326,800.93 ; Q560.00 ;YARA UK LIMITED; 6.10, 2.70, 0.70, 1.30, 1.30, 2.70;N, K2O, S, B, Zn, Extracto de Algas Marinas (Ascophyllum Nodosum);MAGA
.;65-26     ;352-F-8416-42;YaraVita CROPLIFT BIO / YaraVita CROPLIFT BIO UK;YARA GUATEMALA, S.A                                                                                                                                   ;16/01/2026;Litros    ;2520;Inglaterra                                        ;Inglaterra                                        ;Puerto Quetzal                                    ; $10,209.61 ; Q78,237.77 ; Q210.00 ;YARA UK LIMITED; 0.07, 0.00, 0.13, 0.10, 0.02, 7.00, 4.00, 10.00;Zn, Mo, Mn, Cu, B, K2O, P2O5, N;MAGA
.;66-26     ;_786-SAF-117-57-9;HUMIPLEX 50 SG;INDUPARTS, S.A                                                                                                                                        ;16/01/2026;Kilogramos;8000;México                                            ;México                                            ;Tecún Umán                                        ; $14,150.00 ; Q108,423.53 ; Q340.00 ;Grupo Bioquímico Mexicano, S.A. de C.V.; 50.00;Sustancias  Húmicas;MAGA
.;67-26     ;_786-SAF-117-57-9;HUMIPLEX 50 SG;INDUPARTS, S.A                                                                                                                                        ;16/01/2026;Kilogramos;5000;México                                            ;México                                            ;Tecún Umán                                        ; $8,750.00 ; Q67,046.35 ; Q185.00 ;Grupo Bioquímico Mexicano, S.A. de C.V.; 50.00;Sustancias  Húmicas;MAGA
.;68-26     ;874-F-4337-73;UREA / Urea Grado B;GRUPO FERT, S.A                                                                                                                                       ;19/01/2026;Kilogramos;127008;Honduras                                          ;Rusia                                             ;Corinto                                           ; $64,737.23 ; Q496,153.90 ; Q730.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.30;N;MAGA
.;69-26     ;874-F-4337-73;UREA / Urea Grado B;GRUPO FERT, S.A                                                                                                                                       ;19/01/2026;Kilogramos;127008;Honduras                                          ;Rusia                                             ;Corinto                                           ; $64,737.23 ; Q496,153.90 ; Q730.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 46.30;N;MAGA
.;70-26     ;_484-F-7209-29-1;BioFlora 6-0-0+8%Ca;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;19/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $9,364.44 ; Q71,759.70 ; Q200.00 ;Global Organics LLC; 11.96, 6.58;CaO, N;MAGA
