Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
PERMISOS;VIAG-32470-2026;_84-37A-27;CLOROTALONIL 72 SC;AGROFORTRESS, SOCIEDAD ANONIMA;26/01/2026;LITROS;2004;CHINA;CHINA;PUERTO QUETZAL; $8,617.20 ; Q66,076.86 ; Q183.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;72% ;Chlorothalonil;VAI
PERMISOS;VIAG-32471-2026;_752-77-13;LUXAZIM 50 SC;AGROFORTRESS, SOCIEDAD ANONIMA;26/01/2026;LITROS;5000;CHINA;CHINA;PUERTO QUETZAL; $17,814.00 ; Q136,598.11 ; Q367.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;50% ;Carbendazim;VAI
PERMISOS;VIAG-32472-2026;_84-37A-27;CLOROTALONIL 72 SC;AGROFORTRESS, SOCIEDAD ANONIMA;26/01/2026;LITROS;16000;CHINA;CHINA;PUERTO QUETZAL; $76,800.00 ; Q588,903.94 ; Q820.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;72% ;Chlorothalonil;VAI
PERMISOS;VIAG-32473-2026;_752-295A-1;FORZATE 72 WP;AGROFORTRESS, SOCIEDAD ANONIMA;26/01/2026;KILOGRAMOS;7475;CHINA;CHINA;PUERTO QUETZAL; $35,282.01 ; Q270,543.16 ; Q501.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;8% + 64% ;Cymoxanil, Mancozeb;VAI
PERMISOS;VIAG-32474-2026;_1183-12-3;HENGSTIER  16 SL;AGRORGANIKA;26/01/2026;LITROS;640;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $1,664.00 ; Q12,753.10 ; Q76.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;12% + 4% ;2,4-D, Picloram;VAI
PERMISOS;VIAG-32475-2026;_1183-49-2;TIGERBULL   48  SL;AGRORGANIKA;26/01/2026;LITROS;1280;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $11,520.00 ; Q88,290.66 ; Q227.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;30% + 6% + 12% ;Mcpa, Picloram, Triclopyr;VAI
PERMISOS;VIAG-32476-2026;_1183-10-2;BULLGRASS  30.4  SL;AGRORGANIKA;26/01/2026;LITROS;900;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $3,420.00 ; Q26,211.29 ; Q103.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;24% + 6.4% ;2,4-D, Picloram;VAI
PERMISOS;VIAG-32477-2026;_1183-40-1;SELLADOR 24  EC;AGRORGANIKA;26/01/2026;LITROS;48;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $540.00 ; Q4,138.62 ; Q21.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;24% ;Oxyfluorfen;VAI
PERMISOS;VIAG-32478-2026;_1183-46-1;FANTASMA 12.5 EC;AGRORGANIKA;26/01/2026;LITROS;1920;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $18,240.00 ; Q139,793.55 ; Q371.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;12.5% ;Fluazifop-P-Butyl;VAI
PERMISOS;VIAG-32479-2026;_1183-19-1;RIMAXATO 75 WG;AGRORGANIKA;26/01/2026;KILOGRAMOS;700;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $4,900.00 ; Q37,554.19 ; Q126.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;75% ;Glifosato;VAI
PERMISOS;VIAG-32480-2026;_752-157-10;FORZA 60 WP;AGROFORTRESS, SOCIEDAD ANONIMA;26/01/2026;KILOGRAMOS;183;CHINA;CHINA;PUERTO QUETZAL; $2,389.98 ; Q18,326.41 ; Q87.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;60% ;Metsulfuron-Methyl;VAI
PERMISOS;VIAG-32481-2026;_1183-08-2;RIMAXATO 35.6 SL;AGRORGANIKA;26/01/2026;LITROS;300;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $930.00 ; Q7,127.63 ; Q36.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;35.6% ;Glifosato;VAI
PERMISOS;VIAG-32482-2026;_1183-22-1;RIMAC CIPERMETRINA 25 EC;AGRORGANIKA;26/01/2026;LITROS;872;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $5,134.40 ; Q39,350.66 ; Q129.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;25% ;Cipermetrina;VAI
PERMISOS;VIAG-32483-2026;_1183-11-2;RIMPIRIFOS  48  EC;AGRORGANIKA;26/01/2026;LITROS;6628;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $33,936.00 ; Q260,089.58 ; Q491.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;48% ;Clorpirifos;VAI
PERMISOS;VIAG-32484-2026;_1183-54-1;GREEN GO OXAMIL 10 GR;AGRORGANIKA;26/01/2026;KILOGRAMOS;750;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $2,640.00 ; Q20,233.28 ; Q91.00 ;Agroquimica Industrial Rimac S.A. - Costa Rica                                        ;10% ;Oxamyl;VAI
PERMISOS;VIAG-32485-2026;_1362-4-5;HARVESTOL 12(84EC);AGROCENTRO SOCIEDAD ANONIMA;26/01/2026;LITROS;23827;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $23,112.19 ; Q177,134.60 ; Q408.00 ;LUB LINE DE MEXICO - Estados Unidos                                    ;84% ;ACEITEMINERALPARAFINICO;VAI
PERMISOS;VIAG-32486-2026;_1362-4-5;HARVESTOL 12(84EC);AGROCENTRO SOCIEDAD ANONIMA;26/01/2026;LITROS;23846;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $23,130.44 ; Q177,274.47 ; Q408.00 ;LUB LINE DE MEXICO - Estados Unidos                                    ;84% ;ACEITEMINERALPARAFINICO;VAI
LICENCIAS;VIAG-32487-2026;650-f-5800-68;MICRO BLEND ACID;DISAGRO DE GUATEMALA, SOCIEDAD ANONIMA;26/01/2026;KILOGRAMOS;30800;ALEMANIA;POLONIA;SANTO TOMAS DE CASTILLA; $205,016.51 ; Q1,571,271.13 ; Q1,288.00 ;INCOFE, S.A.S. - Alemania                                          ;1.7% + 0.8% + 3.2% + 1.7% + 0.5% + 1.6% + 5.7% ;B, Cu, Fe, Mn, Mo, N, Zn;VAI
