B622603-5,2023,1,510101001,21319.99,AD-01
B622603-5,2023,1,510101001,17472.38,AD-02
B622603-5,2023,1,510101001,7258.85,AD-03
B622603-5,2023,1,510101001,10298.74,OP-01
B622603-5,2023,1,510101001,0.00,OP-02-01
B622603-5,2023,1,510101001,9652.97,OP-02-02
B622603-5,2023,1,510101001,8737.06,OP-02-03
B622603-5,2023,1,510101001,7209.58,OP-02-04
B622603-5,2023,1,510101001,5648.94,OP-02-05
B622603-5,2023,1,510101001,5648.94,OP-02-06
B622603-5,2023,1,510101001,4752.00,OP-02-07
B622603-5,2023,1,510101001,7370.39,OP-03-01
B622603-5,2023,1,510101001,7715.82,OP-03-02
B622603-5,2023,1,510101001,6962.19,OP-03-03
B622603-5,2023,1,510101001,6093.17,OP-03-04
B622603-5,2023,1,510101001,6093.17,OP-03-05
B622603-5,2023,1,510101001,3530.65,OP-04-01
B622603-5,2023,1,510101001,3334.36,OP-04-02
B622603-5,2023,1,510101001,3334.36,OP-04-03
B622603-5,2023,1,510101002,250.00,AD-01
B622603-5,2023,1,510101002,1000.00,AD-02
B622603-5,2023,1,510101002,750.00,AD-03
B622603-5,2023,1,510101002,250.00,OP-01
B622603-5,2023,1,510101002,0.00,OP-02-01
B622603-5,2023,1,510101002,250.00,OP-02-02
B622603-5,2023,1,510101002,250.00,OP-02-03
B622603-5,2023,1,510101002,250.00,OP-02-04
B622603-5,2023,1,510101002,250.00,OP-02-05
B622603-5,2023,1,510101002,250.00,OP-02-06
B622603-5,2023,1,510101002,250.00,OP-02-07
B622603-5,2023,1,510101002,500.00,OP-03-01
B622603-5,2023,1,510101002,500.00,OP-03-02
B622603-5,2023,1,510101002,500.00,OP-03-03
B622603-5,2023,1,510101002,500.00,OP-03-04
B622603-5,2023,1,510101002,500.00,OP-03-05
B622603-5,2023,1,510101002,250.00,OP-04-01
B622603-5,2023,1,510101002,250.00,OP-04-02
B622603-5,2023,1,510101002,250.00,OP-04-03
B622603-5,2023,1,510101003,21319.99,AD-01
B622603-5,2023,1,510101003,8710.78,AD-02
B622603-5,2023,1,510101003,1539.71,AD-03
B622603-5,2023,1,510101003,8426.24,OP-01
B622603-5,2023,1,510101003,0.00,OP-02-01
B622603-5,2023,1,510101003,7897.89,OP-02-02
B622603-5,2023,1,510101003,7148.50,OP-02-03
B622603-5,2023,1,510101003,5898.75,OP-02-04
B622603-5,2023,1,510101003,4621.86,OP-02-05
B622603-5,2023,1,510101003,4621.86,OP-02-06
B622603-5,2023,1,510101003,3888.00,OP-02-07
B622603-5,2023,1,510101003,1300.66,OP-03-01
B622603-5,2023,1,510101003,1361.61,OP-03-02
B622603-5,2023,1,510101003,1228.62,OP-03-03
B622603-5,2023,1,510101003,1075.26,OP-03-04
B622603-5,2023,1,510101003,1075.26,OP-03-05
B622603-5,2023,1,510101003,623.06,OP-04-01
B622603-5,2023,1,510101003,588.42,OP-04-02
B622603-5,2023,1,510101003,588.42,OP-04-03
B622603-5,2023,1,510101004,3553.32,AD-01
B622603-5,2023,1,510101004,2181.92,AD-02
B622603-5,2023,1,510101004,733.21,AD-03
B622603-5,2023,1,510101004,1560.41,OP-01
B622603-5,2023,1,510101004,0.00,OP-02-01
B622603-5,2023,1,510101004,1462.57,OP-02-02
B622603-5,2023,1,510101004,1323.79,OP-02-03
B622603-5,2023,1,510101004,1092.36,OP-02-04
B622603-5,2023,1,510101004,855.90,OP-02-05
B622603-5,2023,1,510101004,855.90,OP-02-06
B622603-5,2023,1,510101004,720.00,OP-02-07
B622603-5,2023,1,510101004,722.58,OP-03-01
B622603-5,2023,1,510101004,756.45,OP-03-02
B622603-5,2023,1,510101004,682.56,OP-03-03
B622603-5,2023,1,510101004,597.37,OP-03-04
B622603-5,2023,1,510101004,597.37,OP-03-05
B622603-5,2023,1,510101004,346.14,OP-04-01
B622603-5,2023,1,510101004,326.90,OP-04-02
B622603-5,2023,1,510101004,326.90,OP-04-03
B622603-5,2023,1,510101005,3553.32,AD-01
B622603-5,2023,1,510101005,2181.92,AD-02
B622603-5,2023,1,510101005,733.21,AD-03
B622603-5,2023,1,510101005,1560.41,OP-01
B622603-5,2023,1,510101005,0.00,OP-02-01
B622603-5,2023,1,510101005,1462.57,OP-02-02
B622603-5,2023,1,510101005,1323.79,OP-02-03
B622603-5,2023,1,510101005,1092.36,OP-02-04
B622603-5,2023,1,510101005,855.90,OP-02-05
B622603-5,2023,1,510101005,855.90,OP-02-06
B622603-5,2023,1,510101005,720.00,OP-02-07
B622603-5,2023,1,510101005,722.58,OP-03-01
B622603-5,2023,1,510101005,756.45,OP-03-02
B622603-5,2023,1,510101005,682.56,OP-03-03
B622603-5,2023,1,510101005,597.37,OP-03-04
B622603-5,2023,1,510101005,597.37,OP-03-05
B622603-5,2023,1,510101005,346.14,OP-04-01
B622603-5,2023,1,510101005,326.90,OP-04-02
B622603-5,2023,1,510101005,326.90,OP-04-03
B622603-5,2023,1,510101006,0.00,AD-01
B622603-5,2023,1,510101006,0.00,AD-02
B622603-5,2023,1,510101006,0.00,AD-03
B622603-5,2023,1,510101006,0.00,OP-01
B622603-5,2023,1,510101006,0.00,OP-02-01
B622603-5,2023,1,510101006,0.00,OP-02-02
B622603-5,2023,1,510101006,0.00,OP-02-03
B622603-5,2023,1,510101006,0.00,OP-02-04
B622603-5,2023,1,510101006,0.00,OP-02-05
B622603-5,2023,1,510101006,0.00,OP-02-06
B622603-5,2023,1,510101006,0.00,OP-02-07
B622603-5,2023,1,510101006,0.00,OP-03-01
B622603-5,2023,1,510101006,0.00,OP-03-02
B622603-5,2023,1,510101006,0.00,OP-03-03
B622603-5,2023,1,510101006,0.00,OP-03-04
B622603-5,2023,1,510101006,0.00,OP-03-05
B622603-5,2023,1,510101006,0.00,OP-04-01
B622603-5,2023,1,510101006,0.00,OP-04-02
B622603-5,2023,1,510101006,0.00,OP-04-03
B622603-5,2023,1,510101007,0.00,AD-01
B622603-5,2023,1,510101007,0.00,AD-02
B622603-5,2023,1,510101007,0.00,AD-03
B622603-5,2023,1,510101007,0.00,OP-01
B622603-5,2023,1,510101007,0.00,OP-02-01
B622603-5,2023,1,510101007,0.00,OP-02-02
B622603-5,2023,1,510101007,0.00,OP-02-03
B622603-5,2023,1,510101007,0.00,OP-02-04
B622603-5,2023,1,510101007,0.00,OP-02-05
B622603-5,2023,1,510101007,0.00,OP-02-06
B622603-5,2023,1,510101007,0.00,OP-02-07
B622603-5,2023,1,510101007,0.00,OP-03-01
B622603-5,2023,1,510101007,0.00,OP-03-02
B622603-5,2023,1,510101007,0.00,OP-03-03
B622603-5,2023,1,510101007,0.00,OP-03-04
B622603-5,2023,1,510101007,0.00,OP-03-05
B622603-5,2023,1,510101007,0.00,OP-04-01
B622603-5,2023,1,510101007,0.00,OP-04-02
B622603-5,2023,1,510101007,0.00,OP-04-03
B622603-5,2023,1,510101008,2488.04,AD-01
B622603-5,2023,1,510101008,2039.03,AD-02
B622603-5,2023,1,510101008,847.11,AD-03
B622603-5,2023,1,510101008,1201.86,OP-01
B622603-5,2023,1,510101008,0.00,OP-02-01
B622603-5,2023,1,510101008,1126.50,OP-02-02
B622603-5,2023,1,510101008,1019.61,OP-02-03
B622603-5,2023,1,510101008,841.36,OP-02-04
B622603-5,2023,1,510101008,659.23,OP-02-05
B622603-5,2023,1,510101008,659.23,OP-02-06
B622603-5,2023,1,510101008,554.56,OP-02-07
B622603-5,2023,1,510101008,860.12,OP-03-01
B622603-5,2023,1,510101008,900.44,OP-03-02
B622603-5,2023,1,510101008,812.49,OP-03-03
B622603-5,2023,1,510101008,711.07,OP-03-04
B622603-5,2023,1,510101008,711.07,OP-03-05
