B622603-5,510202002,SERVICIO CELULAR,2023,1,469.99,0.00,6639.61,AD-03
B622603-5,510202002,SERVICIO CELULAR,2023,1,589.99,0.00,6639.61,OP-01
B622603-5,510202002,SERVICIO CELULAR,2023,1,555.00,0.00,6639.61,OP-02-01
B622603-5,510202002,SERVICIO CELULAR,2023,1,475.00,0.00,6639.61,OP-02-02
B622603-5,510202002,SERVICIO CELULAR,2023,1,475.00,0.00,6639.61,OP-02-03
B622603-5,510202002,SERVICIO CELULAR,2023,1,555.00,0.00,6639.61,OP-02-04
B622603-5,510202002,SERVICIO CELULAR,2023,1,569.99,0.00,6639.61,OP-02-05
B622603-5,510202002,SERVICIO CELULAR,2023,1,569.99,0.00,6639.61,OP-02-06
B622603-5,510202002,SERVICIO CELULAR,2023,1,189.66,0.00,6639.61,OP-03-01
B622603-5,510202002,SERVICIO CELULAR,2023,1,149.00,0.00,6639.61,OP-03-02
B622603-5,510202002,SERVICIO CELULAR,2023,1,254.00,0.00,6639.61,OP-03-03
B622603-5,510202002,SERVICIO CELULAR,2023,1,149.00,0.00,6639.61,OP-03-04
B622603-5,510202002,SERVICIO CELULAR,2023,1,395.00,0.00,6639.61,OP-04-01
B622603-5,510202002,SERVICIO CELULAR,2023,1,293.99,0.00,6639.61,OP-04-02
B622603-5,510101009,BENEFICIOS A EMPLEADOS,2023,1,1620.00,0.00,1620.00,OP-03-03
B622603-5,511501001,INDEMNIZACION,2023,1,4145.55,0.00,20731.08,AD-01
B622603-5,511501001,INDEMNIZACION,2023,1,2566.97,0.00,20731.08,AD-02
B622603-5,511501001,INDEMNIZACION,2023,1,855.42,0.00,20731.08,AD-03
B622603-5,511501001,INDEMNIZACION,2023,1,1820.48,0.00,20731.08,OP-01
B622603-5,511501001,INDEMNIZACION,2023,1,1706.33,0.00,20731.08,OP-02-02
B622603-5,511501001,INDEMNIZACION,2023,1,1544.43,0.00,20731.08,OP-02-03
B622603-5,511501001,INDEMNIZACION,2023,1,1274.42,0.00,20731.08,OP-02-04
B622603-5,511501001,INDEMNIZACION,2023,1,998.55,0.00,20731.08,OP-02-05
B622603-5,511501001,INDEMNIZACION,2023,1,998.55,0.00,20731.08,OP-02-06
B622603-5,511501001,INDEMNIZACION,2023,1,840.00,0.00,20731.08,OP-02-07
B622603-5,511501001,INDEMNIZACION,2023,1,843.02,0.00,20731.08,OP-03-01
B622603-5,511501001,INDEMNIZACION,2023,1,796.33,0.00,20731.08,OP-03-02
B622603-5,511501001,INDEMNIZACION,2023,1,882.53,0.00,20731.08,OP-03-03
B622603-5,511501001,INDEMNIZACION,2023,1,696.93,0.00,20731.08,OP-03-04
B622603-5,511501001,INDEMNIZACION,2023,1,380.19,0.00,20731.08,OP-04-01
B622603-5,511501001,INDEMNIZACION,2023,1,381.38,0.00,20731.08,OP-04-02
B622603-5,511001012,MANTENIMIENTO CAMIONES,2023,1,1737.00,0.00,5847.68,OP-04-01
B622603-5,511001012,MANTENIMIENTO CAMIONES,2023,1,400.00,0.00,5847.68,OP-04-02
B622603-5,511001012,MANTENIMIENTO CAMIONES,2023,1,750.00,0.00,5847.68,OP-04-03
B622603-5,511001012,MANTENIMIENTO CAMIONES,2023,1,1130.68,0.00,5847.68,OP-04-01
B622603-5,511001012,MANTENIMIENTO CAMIONES,2023,1,100.00,0.00,5847.68,OP-04-01
B622603-5,511001012,MANTENIMIENTO CAMIONES,2023,1,1730.00,0.00,5847.68,OP-04-02
B622603-5,511001014,LEASING MAQUINARIA,2023,1,3159.67,0.00,3159.67,AD-03
B622603-5,511101001,IMPREVISTOS,2023,1,30.00,0.00,2690.00,AD-02
B622603-5,511101001,IMPREVISTOS,2023,1,2660.00,0.00,2690.00,AD-03
B622603-5,511201001,CIAT,2023,1,4617.50,0.00,4617.50,AD-03
B622603-5,511201002,BODEGA MAGA,2023,1,608.00,0.00,608.00,AD-03
B622603-5,511701001,DONACIONES INSTITUCIONALES,2023,1,12500.00,0.00,17275.00,AD-03
B622603-5,511701001,DONACIONES INSTITUCIONALES,2023,1,4775.00,0.00,17275.00,AD-03
B622603-5,520201003,IMPUESTO SOBRE PRODUCTOS FINANCIEROS,2023,1,96.68,0.00,96.68,AD-02
B622603-5,510101001,SUELDOS,2023,1,21320.00,0.00,134186.58,AD-01
B622603-5,510101001,SUELDOS,2023,1,18638.02,0.00,134186.58,AD-02
B622603-5,510101001,SUELDOS,2023,1,7258.84,0.00,134186.58,AD-03
B622603-5,510101001,SUELDOS,2023,1,10298.74,0.00,134186.58,OP-01
B622603-5,510101001,SUELDOS,2023,1,9652.98,0.00,134186.58,OP-02-02
B622603-5,510101001,SUELDOS,2023,1,8737.06,0.00,134186.58,OP-02-03
