B622603-5,3201,RESULTADOS AGREQUIMA,320101096,RESULTADO 2021,2023,1,0.00,1441572.44,1441572.44,0
B622603-5,3201,RESULTADOS AGREQUIMA,320101097,RESULTADO 2020,2023,1,0.00,1894920.08,1894920.08,0
B622603-5,3201,RESULTADOS AGREQUIMA,320101098,RESULTADO 2019,2023,1,0.00,-109683.87,-109683.87,0
B622603-5,3201,RESULTADOS AGREQUIMA,320101099,RESULTADO DEL EJERCICIO,2023,1,0.00,-775919.34,-775919.34,0
B622603-5,1202,GASTOS DIFERIDOS,120202001,ANTICIPOS DE GASTOS,2023,1,0.00,1130.68,-1130.68,0
B622603-5,1202,GASTOS DIFERIDOS,120202001,ANTICIPOS DE GASTOS,2023,1,0.00,12500.00,-12500.00,0
B622603-5,2101,CUENTAS POR PAGAR,210101002,GASTOS ADMINISTRATIVOS POR PAGAR,2023,1,0.00,2587.00,2587.00,0
B622603-5,2101,CUENTAS POR PAGAR,210102002,CUOTA PATRONAL IGSS,2023,1,0.00,15659.57,15659.57,0
B622603-5,2101,CUENTAS POR PAGAR,210103002,PROVISION AGUINALDO,2023,1,0.00,17769.45,17769.45,0
B622603-5,2101,CUENTAS POR PAGAR,210103003,PROVISION BONO 14,2023,1,0.00,17769.45,17769.45,0
B622603-5,2101,CUENTAS POR PAGAR,210103001,PROVISION INDEMNIZACION,2023,1,0.00,20731.08,20731.08,0
B622603-5,2101,CUENTAS POR PAGAR,210101003,GASTOS OPERATIVOS POR PAGAR,2023,1,0.00,55139.60,55139.60,0
B622603-5,1202,GASTOS DIFERIDOS,120202001,ANTICIPOS DE GASTOS,2023,1,0.00,4000.00,-4000.00,0
B622603-5,2101,CUENTAS POR PAGAR,210101002,GASTOS ADMINISTRATIVOS POR PAGAR,2023,1,0.00,8421.18,8421.18,0
B622603-5,2101,CUENTAS POR PAGAR,210101003,GASTOS OPERATIVOS POR PAGAR,2023,1,0.00,525.00,525.00,0
B622603-5,2101,CUENTAS POR PAGAR,210101003,GASTOS OPERATIVOS POR PAGAR,2023,1,0.00,750.00,750.00,0
B622603-5,2101,CUENTAS POR PAGAR,210104002,OTROS INGRESOS ANTICIPADOS,2023,1,375.00,0.00,-375.00,0
B622603-5,2101,CUENTAS POR PAGAR,210104002,OTROS INGRESOS ANTICIPADOS,2023,1,3700.00,0.00,-3700.00,0
B622603-5,1101,CAJA Y BANCOS,110101002,TRASLADO DE FONDOS,2023,1,0.00,500000.00,-500000.00,0
B622603-5,1101,CAJA Y BANCOS,110102001,BAC 701111600 MONETARIA,2023,1,500603.07,0.00,500603.07,0
B622603-5,1101,CAJA Y BANCOS,110102002,BANRURAL 3033034955 MONETARIA,2023,1,707631.53,0.00,707631.53,0
B622603-5,1202,GASTOS DIFERIDOS,120202001,ANTICIPOS DE GASTOS,2023,1,0.00,6426.05,-6426.05,0
B622603-5,2101,CUENTAS POR PAGAR,210104001,INGRESOSANTICIPADOS 4 POR MILLAR,2023,1,0.00,3859.75,3859.75,0
B622603-5,2101,CUENTAS POR PAGAR,210104002,OTROS INGRESOS ANTICIPADOS,2023,1,0.00,6882.50,6882.50,0
B622603-5,1101,CAJA Y BANCOS,110101001,CAJA CHICA,2023,1,8750.00,0.00,8750.00,0
B622603-5,1101,CAJA Y BANCOS,110101002,TRASLADO DE FONDOS,2023,1,500000.00,0.00,500000.00,0
B622603-5,1101,CAJA Y BANCOS,110102001,BAC 701111600 MONETARIA,2023,1,0.00,487997.83,-487997.83,0
B622603-5,1101,CAJA Y BANCOS,110102002,BANRURAL 3033034955 MONETARIA,2023,1,0.00,620430.70,-620430.70,0
B622603-5,1101,CAJA Y BANCOS,110102003,BANCO INDUSTRIAL 0000269530 MONETARIA,2023,1,0.00,21992.87,-21992.87,0
B622603-5,1102,CUENTAS POR COBRAR,110204003,OTRAS CUENTAS POR COBRAR,2023,1,839.66,2769.66,-1930.00,0
B622603-5,1201,ACTIVOS FIJOS,120101003,HARDWARE,2023,1,8619.45,0.00,8619.45,0
B622603-5,1202,GASTOS DIFERIDOS,120201001,VIATICOS INGENIEROS AGRONOMOS,2023,1,38500.00,0.00,38500.00,0
B622603-5,1202,GASTOS DIFERIDOS,120201003,INSUMOS ESTABLECIMIENTOS DE HUERTOS,2023,1,5100.00,0.00,5100.00,0
B622603-5,1202,GASTOS DIFERIDOS,120202001,ANTICIPOS DE GASTOS,2023,1,74499.27,0.00,74499.27,0
B622603-5,2101,CUENTAS POR PAGAR,210101002,GASTOS ADMINISTRATIVOS POR PAGAR,2023,1,30805.60,0.00,-30805.60,0
B622603-5,2101,CUENTAS POR PAGAR,210101003,GASTOS OPERATIVOS POR PAGAR,2023,1,38489.42,20352.00,-18137.42,0
B622603-5,2101,CUENTAS POR PAGAR,210102001,CUOTA LABORAL IGSS,2023,1,6050.41,6481.22,430.81,0
B622603-5,2101,CUENTAS POR PAGAR,210102002,CUOTA PATRONAL IGSS,2023,1,14618.69,0.00,-14618.69,0
B622603-5,2101,CUENTAS POR PAGAR,210102004,IVA DEBITO,2023,1,1630.00,0.00,-1630.00,0
B622603-5,2101,CUENTAS POR PAGAR,210102005,IVA DEBITO FACTURA ESPECIAL,2023,1,416.85,0.00,-416.85,0
B622603-5,2101,CUENTAS POR PAGAR,210102006,RETENCIONES ISR EMPLEADOS,2023,1,5400.52,5974.94,574.42,0
B622603-5,2101,CUENTAS POR PAGAR,210102007,RETENCIONES ISR TERCEROS,2023,1,3980.79,4191.60,210.81,0
B622603-5,2101,CUENTAS POR PAGAR,210104001,INGRESOSANTICIPADOS 4 POR MILLAR,2023,2,3859.75,0.00,-3859.75,0
B622603-5,2101,CUENTAS POR PAGAR,210101002,GASTOS ADMINISTRATIVOS POR PAGAR,2023,2,195.00,0.00,-195.00,0
B622603-5,2101,CUENTAS POR PAGAR,210101003,GASTOS OPERATIVOS POR PAGAR,2023,2,0.00,69698.20,69698.20,0
B622603-5,1202,GASTOS DIFERIDOS,120201002,ACCESORIOS Y/O REPUESTOS ASPERSORAS,2023,2,0.00,3257.75,-3257.75,0
B622603-5,1202,GASTOS DIFERIDOS,120202001,ANTICIPOS DE GASTOS,2023,2,0.00,1509.60,-1509.60,0
